,KSS,S&P 500,NASDAQ,DOW,VIXY,sentiment_snow,sentiment_stack
2019-10-02,-0.05927351985213747,-0.018065404187643352,-0.0157299949016938,-0.01878134410543275,0.06555048609649994,0.12171776910639427,0.25
2019-10-03,0.008409711904341588,0.007940304773866202,0.011114240079301396,0.004683280259921929,-0.03795252658811821,0.10955881581314894,0.5714285714285714
2019-10-04,0.013013576043582997,0.014116785239259855,0.01390275640553007,0.014123715103576018,-0.05648442506998208,0.09523734480060836,0.5
2019-10-07,0.02470291221133225,-0.004488352273681606,-0.003285098578386325,-0.0036078468024047794,0.010555467677398234,0.09447957529815032,0.5714285714285714
2019-10-08,0.0008267754315749443,-0.015683159552110304,-0.016795029447266074,-0.011929024071477556,0.07649797804025127,0.12164775889177493,0.0
2019-10-09,0.020653115026346924,0.009063296514845831,0.010168308553941685,0.006930918391391927,-0.037758105687412336,0.08307008303317369,0.3333333333333333
2019-10-10,0.027743498922490506,0.006395202411782819,0.005933915217918084,0.00570223029461836,-0.03275775896389055,0.0867259087478839,0.2
2019-10-11,0.012908412712418382,0.010879579673789053,0.013276238218729475,0.012001658250587965,-0.05885563919240644,0.11175541384165244,0.2
2019-10-14,-0.014287373759261257,-0.0013880816732187995,-0.001041884887669653,-0.0010906088851037055,-0.03486540516261538,0.04819905596697287,1.0
2019-10-15,0.014093110102488371,0.009906445376488549,0.012355264352185813,0.008824880715584627,-0.028233275272738112,0.14018449809986264,0.4
2019-10-16,-0.008392778019188363,-0.0020015445531935683,-0.003014806039926654,-0.0008447778427349562,-0.012998179397963217,0.16682293420538094,0.0
2019-10-17,0.0007836871512227894,0.002759021969774622,0.004013255325414633,0.0008847432267913291,-0.004561006987747529,0.13363878787598318,0.5
2019-10-18,-0.009049934788639469,-0.003927045709799515,-0.008286203046843355,-0.009505657865068073,-0.0017157960877689504,0.017411620874992373,0.2
2019-10-21,0.012373848650952812,0.006848114105334702,0.009038678179388526,0.002143423257697563,-0.027271740785483445,0.11624651617857733,0.0
2019-10-22,0.032833784522553255,-0.0035750492583765947,-0.007215791223046608,-0.0014749781545795315,0.015178354859890497,0.09649582886966088,0.6
2019-10-23,0.006026367852757453,0.0028431033458300448,0.0019095356634544203,0.0017101032709785358,-0.012241539933763868,0.12318789931920462,0.4
2019-10-24,-0.01780675459583314,0.0019186046591705974,0.008096625373861244,-0.0010596644606106764,-0.013581522581166627,0.099628860458652,0.625
2019-10-25,0.030864232179923512,0.004064429510655998,0.0069780052933214876,0.005674162000188332,-0.03447572762542972,0.10245334540095888,0.0
2019-10-28,-0.004643756836896884,0.005565819916117931,0.010003048616786359,0.0049089144872223045,0.011016041847732083,0.08163319263640707,-0.3333333333333333
2019-10-29,0.003716729025605048,-0.0008327519564801378,-0.005919561828937603,-0.0007111887244342086,-0.0006088419527929823,0.09220619631779473,0.3333333333333333
2019-10-30,-0.04340674345576456,0.0032480894008575234,0.0032725603556240657,0.004247424139162348,-0.025911386430904404,0.0,0.14285714285714285
2019-10-31,-0.006998522894607007,-0.003027438634539692,-0.0014003230244714615,-0.0051798538094747215,0.016119395956256888,0.14336952066942488,0.0
2019-11-01,0.016062259944986224,0.009615930559647268,0.011276741367460374,0.011072333470039553,-0.04657857394588394,0.023593952310654143,0.375
2019-11-04,0.0376763664713069,0.003697245805312832,0.005564927089039884,0.004187238821174333,0.002574001467745113,0.10326244447010496,0.5
2019-11-05,0.022123540148640153,-0.0011864027118200227,0.00017542123865865733,0.0011107863446557786,0.019726981609270666,0.15138312058151926,0.6666666666666666
2019-11-06,-0.016592562700174618,0.0007022505922886779,-0.00285537299593841,-2.5575067841288046e-06,-0.0044205752224222294,0.17568549311235032,0.6666666666666666
2019-11-07,0.042299122977530246,0.0027263752442809874,0.0028363849873276337,0.006606837553604805,-0.009539059493647972,0.2593054408865887,0.25
2019-11-08,0.005273337107795317,0.0025574031451167656,0.004824427016203003,0.00023265584156284547,-0.021311748218744597,0.07609003176638117,0.0
2019-11-11,-0.0005260770694439643,-0.0019643954133385932,-0.00130219191081693,0.0003702183378102575,-0.002614378129688344,0.28968560704182034,0.0
